Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-04-01,,Breakfast,Butternut Squash,1.00 cup,53.77,0.0,0.0,1.21,29.57,118.03,0.1,0.02,1.3,0.48,0.17,0.0,25.54,749.77,20.3,0.0,1.73,1.34,55.12,0.09,,0.81,38.98,0.23,36.3,381.77,0.67,5.38,0.17,14.1,4.3,3.62,0.9,3.58,2.65,0.12,0.0,0.01,0.05,0.03,0.0,0.03,0.03,0.0,0.0,0.02,0.0,0.02,0.01,0.02,0.05,0.07,0.04,0.01,0.05,1.21,0.04,0.02,0.04,0.05,Vegetables and Vegetable Products
2023-04-01,,Breakfast,Green mix_Custom_GH,1.00 full recipe,178.88,0.0,0.0,76.14,421.08,0.57,0.03,0.17,1.26,0.13,0.03,0.0,14.97,0.08,0.27,0.0,2.69,0.66,48.92,0.34,,1.83,123.0,1.0,252.38,232.63,1.51,2.81,1.62,5.49,2.48,2.23,0.19,0.12,0.88,15.52,0.0,7.74,4.9,1.92,0.01,0.02,0.02,0.0,0.0,4.85,0.0,4.85,0.09,0.21,0.33,0.63,0.28,0.12,0.47,7.65,0.27,0.11,0.28,0.4,
2023-04-01,,Breakfast,Protein Smoothie_Custom_GH,1.00 full recipe,446.9,0.0,0.0,21.56,438.26,51.8,0.2,0.28,2.08,1.58,0.44,0.15,90.87,18.73,6.58,0.0,1.62,16.17,193.01,0.55,0.41,1.7,109.61,1.08,286.37,693.8,18.5,109.33,2.28,14.1,8.36,5.59,2.79,0.39,2.89,31.94,1.56,9.73,15.93,3.5,0.0,4.42,4.42,0.0,0.0,11.48,0.0,11.47,0.53,0.64,1.46,2.76,2.33,0.56,1.11,30.64,1.46,0.57,0.81,1.51,
2023-04-01,,Breakfast,"Now, Psyllium Husk Powder",0.66 Tbsp,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplements
2023-04-01,,Smoothie,"Mushrooms, morel, raw",1.00 cup,20.46,,,,,59.14,0.05,0.14,1.49,0.29,0.09,,5.94,,,135.96,,,28.38,0.41,,8.04,12.54,0.39,128.04,271.26,1.45,13.86,1.34,3.37,1.85,,,1.12,0.4,0.38,,0.03,0.29,0.04,,,,,,0.14,,0.14,,,,,,,,2.06,,,,,Vegetables and Vegetable Products
2023-04-01,,Breakfast,"Whole Foods Market, Sunchoke & Leek Soup",1.30 cup,156.0,,,,,,,,,,,,,,,0.0,,,39.0,,,2.86,,,,429.0,,1235.0,,18.2,2.6,,,,9.1,7.8,0.0,,,1.3,0.0,,,,,,,,,,,,,,,2.6,,,,,"Soups, Sauces, and Gravies"
2023-04-02,,Smoothie,"Beets, Boiled, Drained",50.00 g,22.0,0.0,0.0,24.15,2.61,43.53,0.01,0.02,0.17,0.07,0.03,0.0,40.0,0.88,1.8,0.0,0.02,0.1,8.0,0.04,,0.4,11.5,0.16,19.0,152.5,0.35,38.5,0.18,4.98,1.0,0.75,0.31,0.27,3.98,0.09,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.04,0.03,0.01,0.02,0.84,0.02,0.01,0.02,0.03,Vegetables and Vegetable Products
2023-04-02,,Smoothie,"Apple Cobbler, Pie Crust",3.00 tbsp,101.8,0.0,0.0,3.53,41.23,34.33,0.06,0.04,0.45,0.06,0.02,0.0,13.52,0.94,1.53,0.0,0.68,2.24,3.65,0.02,,0.4,3.61,0.06,11.31,47.79,1.28,59.58,0.06,15.76,1.17,0.94,0.23,4.99,9.19,4.22,0.0,1.51,0.75,1.85,0.04,0.05,0.05,0.0,0.0,0.69,0.0,0.69,0.01,0.02,0.03,0.05,0.02,0.01,0.04,0.79,0.02,0.01,0.02,0.03,Sweets
2023-04-02,,Smoothie,"Burgundy Wine, Red",3.00 fl oz,75.22,9.38,0.0,0.71,0.0,76.54,0.0,0.03,0.2,0.03,0.05,0.0,0.88,0.07,0.0,0.0,0.0,0.35,7.08,0.01,,0.41,10.62,0.12,20.35,112.39,0.18,3.54,0.12,2.31,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,Beverages
2023-04-02,,Smoothie,"Bordeaux Wine, White",6.00 fl oz,144.65,18.17,0.0,0.35,0.0,153.22,0.01,0.03,0.19,0.08,0.09,0.0,1.76,0.0,0.0,0.0,0.0,0.71,15.88,0.01,,0.48,17.64,0.21,31.75,125.24,0.18,8.82,0.21,4.59,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,Beverages
2023-04-02,,Smoothie,"Escal, Escargots, Butter & Garlic",0.50 x 6.0 escargots,73.0,0.0,,,,,,,,,,,,30.0,0.6,,,,30.0,,,0.9,,,,,,100.0,,0.8,0.3,,,,0.5,7.0,40.5,,,5.0,0.16,,,,,,,,,,,,,,,1.7,,,,,"Meals, Entrees, and Sidedishes"
2023-04-02,,Smoothie,"Brussels Sprouts, Cooked from Fresh","0.75 cup, whole pieces",42.12,0.0,0.0,7.14,15.24,104.01,0.13,0.09,0.71,0.29,0.21,0.0,70.2,45.34,72.54,0.0,0.5,164.15,42.12,0.1,0.58,1.4,23.4,0.27,65.52,370.88,1.75,24.57,0.39,8.31,3.04,2.67,0.37,0.41,2.04,0.58,0.0,0.04,0.3,0.12,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.12,0.13,0.14,0.03,0.09,2.98,0.11,0.03,0.04,0.14,Vegetables and Vegetable Products
2023-04-02,,Smoothie,"Wild Caught, Argentine Red Shrimp",0.50 x 4.0 oz,49.0,,,,,,,,,,,,,22.5,0.9,,,,20.0,,,0.99,,,,,,63.0,,0.5,0.0,,,,0.0,0.5,82.5,,,0.0,0.0,,,,,,,,,,,,,,,9.0,,,,,Finfish and Shellfish Products
2023-04-02,,Smoothie,"Sweet Potato, Baked","6.00 tbsp, chopped",59.4,0.0,0.0,57.81,2.11,50.01,0.07,0.07,0.98,0.58,0.19,0.0,3.96,634.15,12.94,0.0,0.47,1.52,25.08,0.11,0.86,0.46,17.82,0.33,35.64,313.49,0.13,23.76,0.21,13.67,2.18,1.6,0.57,4.65,4.28,0.1,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.08,0.06,0.02,0.08,1.33,0.07,0.03,0.03,0.07,Vegetables and Vegetable Products
2023-04-02,,Smoothie,"Broccoli Raab, Cooked","1.00 cup, cut pieces",36.0,0.0,0.0,0.13,6.45,131.63,0.24,0.2,2.9,0.65,0.32,0.0,102.24,326.4,53.28,0.0,3.64,368.64,169.92,0.11,,1.83,38.88,0.55,118.08,493.92,1.87,80.64,0.78,4.49,4.03,3.69,0.2,0.0,0.89,0.75,0.0,0.02,0.33,0.13,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.07,0.12,0.18,0.3,0.34,0.08,0.22,5.52,0.18,0.07,0.13,0.26,Vegetables and Vegetable Products
2023-04-02,,Smoothie,"Cauliflower, Cooked from Fresh","1.50 cup, cut pieces",42.78,0.0,0.0,6.14,7.81,172.99,0.08,0.1,0.76,0.94,0.32,0.0,81.84,1.08,82.4,0.0,0.13,25.67,29.76,0.03,1.12,0.6,16.74,0.25,59.52,264.13,1.12,27.9,0.32,7.64,4.28,3.57,0.71,0.3,3.87,0.84,0.0,0.06,0.4,0.13,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.13,0.2,0.18,0.05,0.12,3.42,0.12,0.04,0.07,0.17,Vegetables and Vegetable Products
2023-04-02,,Smoothie,"Salmon, Atlantic, Farmed, Cooked",1.00 fillet - each 14 oz raw,733.36,0.0,0.0,0.71,0.0,230.51,1.21,0.48,28.64,5.25,2.3,9.97,121.04,245.64,13.17,1872.56,4.06,0.36,53.4,0.17,46.07,1.21,106.8,0.06,897.12,1367.04,147.38,217.16,1.53,0.0,0.0,0.0,0.0,0.0,0.0,43.97,224.28,14.88,16.21,8.53,0.18,9.26,0.36,5.19,2.46,6.87,4.52,2.35,0.84,2.32,3.62,6.39,7.23,2.33,3.07,78.68,3.45,0.88,2.66,4.05,Finfish and Shellfish Products
2023-04-02,,Smoothie,"Crustaceans, crab, alaska king, cooked, moist heat",0.70 leg,90.99,,,,,72.74,0.05,0.05,1.26,0.38,0.17,10.79,47.84,8.44,7.13,,,,55.34,1.11,,0.71,59.09,0.04,262.64,245.76,37.52,1005.54,7.15,,,,,,,1.44,49.71,0.17,0.5,0.12,,0.43,,0.11,0.28,0.02,,,0.2,0.37,0.88,1.44,1.58,0.51,0.77,18.15,0.73,0.25,0.6,0.85,Finfish and Shellfish Products
2023-04-03,,Breakfast,"Red Wine, Other Types",3.00 fl oz,74.97,9.35,0.0,0.71,0.0,76.28,0.0,0.03,0.2,0.03,0.05,0.0,0.88,0.07,0.0,0.0,0.0,0.35,7.06,0.01,,0.41,10.58,0.12,20.29,112.01,0.18,3.53,0.12,2.3,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,Beverages
2023-04-03,,Breakfast,Green mix_Custom_GH,1.00 full recipe,178.88,0.0,0.0,76.14,421.08,0.57,0.03,0.17,1.26,0.13,0.03,0.0,14.97,0.08,0.27,0.0,2.69,0.66,48.92,0.34,,1.83,123.0,1.0,252.38,232.63,1.51,2.81,1.62,5.49,2.48,2.23,0.19,0.12,0.88,15.52,0.0,7.74,4.9,1.92,0.01,0.02,0.02,0.0,0.0,4.85,0.0,4.85,0.09,0.21,0.33,0.63,0.28,0.12,0.47,7.65,0.27,0.11,0.28,0.4,
2023-04-03,,Breakfast,"Coop, Grilled Vegetables",1.00 Serving,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,8.4,3.4,,,,2.8,3.7,,,,0.5,,,,,,,,,,,,,,,,1.8,,,,,Vegetables and Vegetable Products
2023-04-03,,Breakfast,"Beets, Boiled, Drained",100.00 g,44.0,0.0,0.0,48.3,5.22,87.06,0.03,0.04,0.33,0.15,0.07,0.0,80.0,1.75,3.6,0.0,0.04,0.2,16.0,0.07,,0.79,23.0,0.33,38.0,305.0,0.7,77.0,0.35,9.96,2.0,1.5,0.62,0.53,7.96,0.18,0.0,0.04,0.06,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.07,0.06,0.02,0.05,1.68,0.05,0.02,0.04,0.06,Vegetables and Vegetable Products
2023-04-03,,Breakfast,"Mushroom Sauce, Homemade",200.00 g,377.85,0.4,0.0,,,144.8,0.08,0.11,4.26,,0.06,0.0,58.0,274.0,4.0,,2.26,,74.0,,9.6,1.48,24.0,,164.0,522.0,16.0,190.0,0.36,8.8,2.8,,,1.8,3.0,37.2,88.0,10.02,2.54,21.36,1.73,0.52,,,,1.84,,,,,,,,,,4.4,,0.06,,,"Soups, Sauces, and Gravies"
2023-04-03,,Breakfast,"Chicken, Whole, Skin Eaten","2.00 cup, cut pieces",645.32,0.0,0.0,0.54,0.0,160.52,0.17,0.45,22.92,2.78,1.08,0.81,13.5,129.6,0.0,5.4,0.73,6.48,40.5,0.18,,3.4,62.1,0.05,491.42,602.12,64.53,221.41,5.24,0.0,0.0,0.0,0.0,0.0,0.0,36.72,237.61,14.42,8.02,10.23,1.22,0.48,0.29,0.11,0.03,7.24,0.3,6.94,0.98,2.17,3.68,5.36,6.0,1.96,2.86,73.71,3.05,0.82,2.37,3.58,Poultry Products
2023-04-03,,Breakfast,"Carrots, Cooked From Fresh","1.00 medium - 6"" to 7"" long",21.0,0.0,0.0,11.04,7.56,54.1,0.04,0.03,0.39,0.14,0.09,0.0,8.4,511.0,2.16,0.0,0.62,8.22,18.0,0.01,0.36,0.2,6.0,0.09,18.0,141.0,0.42,34.8,0.12,4.93,1.8,1.42,0.38,0.1,2.07,0.11,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.04,0.05,0.05,0.01,0.03,0.46,0.09,0.01,0.02,0.03,Vegetables and Vegetable Products
2023-04-03,,Breakfast,"Broccoli, Cooked From Fresh","1.50 cup, whole pieces",50.93,0.0,0.0,6.4,25.65,129.87,0.09,0.18,0.8,0.9,0.29,0.0,157.15,112.65,94.43,0.0,2.94,205.17,58.2,0.09,0.73,0.97,30.56,0.28,97.49,426.34,2.33,59.66,0.65,10.45,4.8,4.29,0.51,0.0,2.02,0.6,0.0,0.06,0.25,0.11,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.13,0.21,0.23,0.06,0.17,3.46,0.14,0.05,0.09,0.2,Vegetables and Vegetable Products
2023-04-03,,Breakfast,"Kohlrabi, Cooked","1.00 cup, sliced",47.85,0.0,0.0,1.16,37.7,149.0,0.07,0.03,0.64,0.26,0.25,0.0,19.8,2.89,89.1,0.0,0.86,0.17,41.25,0.22,,0.66,31.35,0.23,74.25,561.02,1.32,34.65,0.51,11.04,1.82,1.58,0.23,0.26,4.62,0.18,0.0,0.01,0.09,0.02,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.14,0.12,0.1,0.02,0.07,2.97,0.09,0.02,0.07,0.09,Vegetables and Vegetable Products
2023-04-03,,Breakfast,Spaghetti Squash,"1.00 cup, shredded",41.85,0.0,0.0,1.4,21.7,143.07,0.06,0.03,1.26,0.55,0.15,0.0,12.4,8.59,5.43,0.0,0.19,1.24,32.55,0.05,,0.53,17.05,0.17,21.7,181.35,0.47,27.9,0.31,10.01,2.17,0.93,1.24,0.99,3.92,0.4,0.0,0.03,0.2,0.1,0.0,0.12,0.12,0.0,0.0,0.07,0.0,0.07,0.01,0.02,0.04,0.05,0.03,0.01,0.04,1.02,0.03,0.01,0.03,0.04,Vegetables and Vegetable Products
2023-04-03,,Breakfast,Tomato Sauce,1.00 cup,58.8,0.0,0.0,18.3,17.76,223.64,0.06,0.16,2.43,0.76,0.24,0.0,22.05,53.19,17.15,0.0,3.53,6.86,34.3,0.28,3.19,2.35,36.75,0.28,66.15,727.66,1.47,1161.32,0.54,13.01,3.68,2.01,1.74,0.47,8.72,0.74,0.0,0.11,0.3,0.1,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.09,0.1,0.02,0.1,2.94,0.1,0.02,0.05,0.07,Vegetables and Vegetable Products
2023-04-03,,Breakfast,"Elk, Ground Meat",1.50 cup,710.54,0.0,0.0,0.0,0.0,236.14,0.46,1.18,19.59,3.87,1.55,9.46,29.45,0.0,0.0,0.0,2.1,6.6,36.82,0.52,,12.3,88.36,0.04,813.63,1303.27,33.13,312.93,24.15,0.0,0.0,0.0,0.0,0.0,0.0,32.18,287.16,10.15,1.52,14.73,0.57,0.03,0.03,0.0,0.0,0.84,0.29,0.53,0.96,3.02,4.12,7.31,8.01,2.41,3.59,98.08,3.94,0.88,3.07,4.55,"Lamb, Veal, and Game Products"
2023-04-03,,Breakfast,"Now, Psyllium Husk Powder",0.66 Tbsp,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplements
2023-04-03,,Breakfast,Protein Smoothie_Custom_GH,1.00 full recipe,446.9,0.0,0.0,21.56,438.26,51.8,0.2,0.28,2.08,1.58,0.44,0.15,90.87,18.73,6.58,0.0,1.62,16.17,193.01,0.55,0.41,1.7,109.61,1.08,286.37,693.8,18.5,109.33,2.28,14.1,8.36,5.59,2.79,0.39,2.89,31.94,1.56,9.73,15.93,3.5,0.0,4.42,4.42,0.0,0.0,11.48,0.0,11.47,0.53,0.64,1.46,2.76,2.33,0.56,1.11,30.64,1.46,0.57,0.81,1.51,
2023-04-03,,Breakfast,Olivio Extra Virgin Olive Oil,3.00 tbsp,358.02,0.0,0.0,2.79,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,24.38,0.4,0.0,0.12,0.23,0.0,0.0,0.0,0.4,0.0,0.81,0.0,0.0,0.0,,,0.0,0.0,40.5,0.0,29.55,4.26,5.59,0.06,0.31,,,,3.95,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fats and Oils
2023-04-04,,Breakfast,"Pork Roast, Tenderloin, Fresh, No Visible Fat Eaten",6.00 oz,289.17,0.0,0.0,2.89,0.0,112.23,1.11,0.49,14.72,2.2,0.99,1.28,0.0,3.4,0.0,44.23,0.44,0.0,18.71,0.14,,1.48,45.93,0.03,496.68,714.41,77.05,110.56,3.66,0.0,0.0,0.0,0.0,0.0,0.0,9.41,129.27,3.58,1.4,3.04,0.03,0.05,0.04,0.0,0.0,1.31,0.12,1.19,0.54,1.95,2.27,3.95,4.26,1.31,1.99,47.95,2.11,0.57,1.9,2.43,Pork Products
2023-04-04,,Breakfast,Morning Mix 3/23,1.00 full recipe,531.9,0.0,30.0,21.56,438.26,51.8,0.2,0.28,2.08,1.58,0.44,0.15,90.87,18.73,126.58,0.0,1.62,16.17,193.01,0.55,0.41,1.7,109.61,1.08,286.37,793.8,18.5,194.33,2.28,18.1,11.36,5.59,2.79,0.39,2.89,32.94,1.56,9.73,15.93,3.5,0.0,4.42,4.42,0.0,0.0,11.48,0.0,11.47,0.68,0.79,2.09,4.01,2.98,0.61,1.21,42.14,1.81,0.59,0.84,2.14,
2023-04-04,,Breakfast,"White Wine, Other Types",3.00 fl oz,72.32,9.08,0.0,0.18,0.0,76.61,0.0,0.01,0.1,0.04,0.04,0.0,0.88,0.0,0.0,0.0,0.0,0.35,7.94,0.0,,0.24,8.82,0.1,15.88,62.62,0.09,4.41,0.11,2.29,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,Beverages
2023-04-04,,Breakfast,"Taylor Farms, Sweet Kale Chopped Salad, Vegetable Salad Kit",1.00 Cup salad with 2 tbsp dressing,170.0,,,,,,,,,,,,,525.0,54.0,,,,40.0,,,1.08,,,,,,150.0,,19.0,3.0,,,,13.0,9.0,5.0,,,1.5,0.0,,,,,,,,,,,,,,,3.0,,,,,"Meals, Entrees, and Sidedishes"
2023-04-04,,Breakfast,"Broccoli, Cooked From Fresh","1.50 cup, whole pieces",50.93,0.0,0.0,6.4,25.65,129.87,0.09,0.18,0.8,0.9,0.29,0.0,157.15,112.65,94.43,0.0,2.94,205.17,58.2,0.09,0.73,0.97,30.56,0.28,97.49,426.34,2.33,59.66,0.65,10.45,4.8,4.29,0.51,0.0,2.02,0.6,0.0,0.06,0.25,0.11,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.13,0.21,0.23,0.06,0.17,3.46,0.14,0.05,0.09,0.2,Vegetables and Vegetable Products
2023-04-04,,Breakfast,"Celeriac, Celery Root, Cooked from Fresh","0.50 cup, cut pieces",20.93,0.0,0.0,5.19,0.0,71.53,0.02,0.03,0.33,0.16,0.08,0.0,2.33,0.0,2.79,0.0,0.28,31.78,20.15,0.03,,0.33,9.3,0.07,51.15,134.08,0.31,47.28,0.16,4.57,0.93,0.84,0.09,0.69,2.77,0.15,0.0,0.03,0.07,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.03,0.01,0.02,0.74,0.02,0.01,0.01,0.03,Vegetables and Vegetable Products
2023-04-04,,Breakfast,Mayo Type Salad Dressing,2.00 tsp,25.0,0.0,0.0,0.52,1.82,6.12,0.0,0.0,0.0,0.01,0.0,0.0,0.6,0.57,0.0,0.0,0.15,4.22,0.5,0.0,,0.01,0.2,0.0,1.3,3.6,0.04,65.3,0.01,1.48,0.0,0.0,0.0,0.81,0.67,2.16,1.9,0.51,1.22,0.34,0.01,0.14,0.14,0.0,0.0,1.07,0.0,1.07,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,Fats and Oils
2023-04-04,,Breakfast,"Macadamia Nuts, Raw",15.00 each,258.6,0.0,0.0,16.24,101.66,0.71,0.46,0.06,0.96,0.29,0.11,0.0,4.25,0.0,0.46,0.0,0.21,0.0,20.49,0.17,,0.73,41.36,4.37,80.4,144.18,12.6,0.0,0.46,9.31,2.92,2.9,0.02,0.41,1.77,25.1,0.0,19.5,0.5,3.99,0.0,0.07,0.07,0.0,0.0,0.43,0.0,0.43,0.0,0.07,0.12,0.23,0.01,0.01,0.25,3.01,0.14,0.03,0.19,0.14,Nut and Seed Products
